Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);270;212;231;255;214;212;186;203;202;253;246;294;2.778;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);284;219;255;262;223;222;193;210;212;261;255;310;2.906;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;2;1;2;0;1;2;4;2;1;2;1;0;18;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;2;1;2;0;1;2;4;2;1;3;1;0;19;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;269;210;242;239;308;287;297;303;272;260;256;294;3.237;
HOMICÍDIO CULPOSO OUTROS;20;20;19;9;10;17;12;11;15;9;24;17;183;
TENTATIVA DE HOMICÍDIO;330;260;298;306;285;269;249;240;278;280;269;300;3.364;
LESÃO CORPORAL SEGUIDA DE MORTE;10;6;5;12;8;14;5;7;8;13;5;11;104;
LESÃO CORPORAL DOLOSA;11.800;10.471;11.362;11.737;10.452;9.584;9.479;10.202;10.902;11.934;11.043;10.898;129.864;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6.151;5.668;5.794;6.503;6.903;6.059;6.556;6.723;6.125;6.915;6.133;5.443;74.973;
LESÃO CORPORAL CULPOSA - OUTRAS;286;291;273;343;274;291;252;249;301;333;274;320;3.487;
LATROCÍNIO;17;12;9;16;15;18;16;10;21;18;14;26;192;
Nº DE VÍTIMAS EM LATROCÍNIO;17;13;10;16;15;20;16;11;22;18;15;26;199;
TOTAL DE ESTUPRO (4);1.071;946;1.027;1.018;1.078;820;850;1.051;1.201;1.306;1.090;916;12.374;
ESTUPRO;261;262;280;258;250;216;223;252;311;316;264;264;3.157;
ESTUPRO DE VULNERÁVEL;810;684;747;760;828;604;627;799;890;990;826;652;9.217;
TOTAL DE ROUBO - OUTROS (1);21.000;19.381;21.991;20.780;21.390;21.986;21.957;21.938;20.437;22.003;21.350;21.188;255.401;
ROUBO - OUTROS;20.389;18.792;21.382;20.169;20.821;21.428;21.326;21.345;19.958;21.325;20.702;20.418;248.055;
ROUBO DE VEÍCULO;3.948;3.562;4.045;4.070;4.089;3.944;3.691;3.554;3.294;3.821;3.950;4.549;46.517;
ROUBO A BANCO;1;2;2;1;1;4;2;1;1;1;2;3;21;
ROUBO DE CARGA;610;587;607;610;568;554;629;592;478;677;646;767;7.325;
FURTO - OUTROS;45.163;42.934;48.390;44.604;46.625;43.595;43.402;42.936;40.965;43.140;41.505;38.904;522.163;
FURTO DE VEÍCULO;7.264;7.233;7.670;7.782;8.052;7.333;7.868;7.904;7.363;8.083;7.642;6.458;90.652;

