Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);281;296;301;284;258;242;269;242;266;242;284;329;3.294;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);310;312;320;303;273;258;283;265;272;268;294;346;3.504;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;5;3;4;3;6;5;6;3;4;5;5;3;52;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;7;4;4;3;7;5;7;3;9;8;6;3;66;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;244;258;278;303;325;299;367;288;292;276;249;308;3.487;
HOMICÍDIO CULPOSO OUTROS;10;20;13;12;17;17;12;7;15;10;13;13;159;
TENTATIVA DE HOMICÍDIO;335;326;341;340;317;292;271;285;291;338;309;368;3.813;
LESÃO CORPORAL SEGUIDA DE MORTE;3;2;7;1;1;4;3;3;6;7;8;6;51;
LESÃO CORPORAL DOLOSA;11.463;11.415;12.704;11.132;11.096;10.062;9.874;11.143;11.764;12.240;11.230;12.013;136.136;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6.741;6.729;8.231;7.340;8.566;7.960;7.677;7.953;7.261;7.140;7.013;6.971;89.582;
LESÃO CORPORAL CULPOSA - OUTRAS;270;330;339;252;268;282;204;280;245;259;234;222;3.185;
LATROCÍNIO;39;34;31;36;32;31;32;20;11;20;24;24;334;
Nº DE VÍTIMAS EM LATROCÍNIO;40;35;31;36;33;31;32;20;11;20;25;24;338;
TOTAL DE ESTUPRO (4);895;794;978;875;943;795;884;934;950;1.094;1.051;896;11.089;
ESTUPRO;261;274;338;298;304;243;257;292;289;332;326;295;3.509;
ESTUPRO DE VULNERÁVEL;634;520;640;577;639;552;627;642;661;762;725;601;7.580;
TOTAL DE ROUBO - OUTROS (1);26.438;25.216;30.224;25.644;28.372;25.925;24.338;25.675;23.122;23.980;22.982;21.990;303.906;
ROUBO - OUTROS;25.581;24.340;29.160;24.851;27.425;24.988;23.479;24.656;22.361;23.123;22.146;21.115;293.225;
ROUBO DE VEÍCULO;5.897;5.728;6.345;5.556;5.870;5.306;5.297;5.461;5.321;5.608;5.633;5.738;67.760;
ROUBO A BANCO;13;11;11;9;8;5;6;8;2;9;7;8;97;
ROUBO DE CARGA;844;865;1.053;784;939;932;853;1.011;759;848;829;867;10.584;
FURTO - OUTROS;42.616;42.978;48.593;40.487;45.200;42.922;40.983;45.265;40.628;43.132;42.002;40.789;515.595;
FURTO DE VEÍCULO;8.453;8.267;9.861;8.727;9.406;8.224;8.471;9.035;8.664;9.070;9.099;7.522;104.799;

